                     NAME                 LANGUAGE                  VARIANT
             Korean+Boris                       ko                    Boris
             Korean+Denis                       ko                    Denis
             Korean+Diogo                       ko                    Diogo
                Korean+Ed                       ko                       Ed
              Korean+Gene                       ko                     Gene
             Korean+Gene2                       ko                    Gene2
          Korean+Henrique                       ko                 Henrique
              Korean+Hugo                       ko                     Hugo
              Korean+Iven                       ko                     Iven
             Korean+Iven2                       ko                    Iven2
             Korean+Iven3                       ko                    Iven3
             Korean+Jacky                       ko                    Jacky
              Korean+John                       ko                     John
        Korean+Kaukovalta                       ko               Kaukovalta
             Korean+Mario                       ko                    Mario
               Korean+Max                       ko                      Max
           Korean+Michael                       ko                  Michael
            Korean+Michel                       ko                   Michel
            Korean+Miguel                       ko                   Miguel
        Korean+Mr_Serious                       ko               Mr_Serious
            Korean+Nguyen                       ko                   Nguyen
             Korean+Pablo                       ko                    Pablo
            Korean+Pablo2                       ko                   Pablo2
              Korean+Paul                       ko                     Paul
             Korean+Pedro                       ko                    Pedro
            Korean+Quincy                       ko                   Quincy
       Korean+RicishayMax                       ko              RicishayMax
      Korean+RicishayMax2                       ko             RicishayMax2
      Korean+RicishayMax3                       ko             RicishayMax3
               Korean+Rob                       ko                      Rob
            Korean+Robert                       ko                   Robert
         Korean+Robosoft3                       ko                Robosoft3
         Korean+Robosoft4                       ko                Robosoft4
         Korean+Robosoft5                       ko                Robosoft5
         Korean+Robosoft6                       ko                Robosoft6
         Korean+Robosoft7                       ko                Robosoft7
         Korean+Robosoft8                       ko                Robosoft8
             Korean+Steph                       ko                    Steph
            Korean+Steph2                       ko                   Steph2
            Korean+Steph3                       ko                   Steph3
             Korean+Storm                       ko                    Storm
            Korean+Tweaky                       ko                   Tweaky
               Korean+Zac                       ko                      Zac
             Korean+anika                       ko                    anika
        Korean+anikaRobot                       ko               anikaRobot
         Korean+fast_test                       ko                fast_test
           Korean+female2                       ko                  female2
           Korean+female3                       ko                  female3
           Korean+female4                       ko                  female4
           Korean+female5                       ko                  female5
    Korean+female_whisper                       ko           female_whisper
           Korean+grandpa                       ko                  grandpa
             Korean+klatt                       ko                    klatt
            Korean+klatt2                       ko                   klatt2
            Korean+klatt3                       ko                   klatt3
            Korean+klatt4                       ko                   klatt4
             Korean+male2                       ko                    male2
             Korean+male3                       ko                    male3
             Korean+male4                       ko                    male4
             Korean+male5                       ko                    male5
             Korean+male6                       ko                    male6
             Korean+male7                       ko                    male7
           Korean+norbert                       ko                  norbert
            Korean+sandro                       ko                   sandro
            Korean+shelby                       ko                   shelby
            Korean+travis                       ko                   travis
            Korean+victor                       ko                   victor
           Korean+whisper                       ko                  whisper
             Korean+male8                       ko                    male8
           Korean+female1                       ko                  female1
             Korean+croak                       ko                    croak
             Korean+male1                       ko                    male1
           Korean+grandma                       ko                  grandma
                  Konkani                      kok                     none
           Konkani+Andrea                      kok                   Andrea
            Konkani+Annie                      kok                    Annie
          Konkani+Antonio                      kok                  Antonio
           Konkani+Auntie                      kok                   Auntie
          Konkani+Belinda                      kok                  Belinda
            Konkani+Boris                      kok                    Boris
            Konkani+Denis                      kok                    Denis
            Konkani+Diogo                      kok                    Diogo
               Konkani+Ed                      kok                       Ed
             Konkani+Gene                      kok                     Gene
            Konkani+Gene2                      kok                    Gene2
         Konkani+Henrique                      kok                 Henrique
             Konkani+Hugo                      kok                     Hugo
             Konkani+Iven                      kok                     Iven
            Konkani+Iven2                      kok                    Iven2
            Konkani+Iven3                      kok                    Iven3
            Konkani+Jacky                      kok                    Jacky
             Konkani+John                      kok                     John
       Konkani+Kaukovalta                      kok               Kaukovalta
            Konkani+Mario                      kok                    Mario
              Konkani+Max                      kok                      Max
          Konkani+Michael                      kok                  Michael
           Konkani+Michel                      kok                   Michel
           Konkani+Miguel                      kok                   Miguel
       Konkani+Mr_Serious                      kok               Mr_Serious
           Konkani+Nguyen                      kok                   Nguyen
            Konkani+Pablo                      kok                    Pablo
           Konkani+Pablo2                      kok                   Pablo2
             Konkani+Paul                      kok                     Paul
            Konkani+Pedro                      kok                    Pedro
           Konkani+Quincy                      kok                   Quincy
      Konkani+RicishayMax                      kok              RicishayMax
     Konkani+RicishayMax2                      kok             RicishayMax2
     Konkani+RicishayMax3                      kok             RicishayMax3
              Konkani+Rob                      kok                      Rob
           Konkani+Robert                      kok                   Robert
        Konkani+Robosoft3                      kok                Robosoft3
        Konkani+Robosoft4                      kok                Robosoft4
        Konkani+Robosoft5                      kok                Robosoft5
        Konkani+Robosoft6                      kok                Robosoft6
        Konkani+Robosoft7                      kok                Robosoft7
        Konkani+Robosoft8                      kok                Robosoft8
            Konkani+Steph                      kok                    Steph
           Konkani+Steph2                      kok                   Steph2
           Konkani+Steph3                      kok                   Steph3
            Konkani+Storm                      kok                    Storm
           Konkani+Tweaky                      kok                   Tweaky
              Konkani+Zac                      kok                      Zac
            Konkani+anika                      kok                    anika
       Konkani+anikaRobot                      kok               anikaRobot
        Konkani+fast_test                      kok                fast_test
          Konkani+female2                      kok                  female2
          Konkani+female3                      kok                  female3
          Konkani+female4                      kok                  female4
          Konkani+female5                      kok                  female5
   Konkani+female_whisper                      kok           female_whisper
          Konkani+grandpa                      kok                  grandpa
            Konkani+klatt                      kok                    klatt
           Konkani+klatt2                      kok                   klatt2
           Konkani+klatt3                      kok                   klatt3
           Konkani+klatt4                      kok                   klatt4
            Konkani+male2                      kok                    male2
            Konkani+male3                      kok                    male3
            Konkani+male4                      kok                    male4
            Konkani+male5                      kok                    male5
            Konkani+male6                      kok                    male6
            Konkani+male7                      kok                    male7
          Konkani+norbert                      kok                  norbert
           Konkani+sandro                      kok                   sandro
           Konkani+shelby                      kok                   shelby
           Konkani+travis                      kok                   travis
           Konkani+victor                      kok                   victor
          Konkani+whisper                      kok                  whisper
            Konkani+male8                      kok                    male8
          Konkani+female1                      kok                  female1
            Konkani+croak                      kok                    croak
            Konkani+male1                      kok                    male1
          Konkani+grandma                      kok                  grandma
                  Kurdish                       ku                     none
           Kurdish+Andrea                       ku                   Andrea
            Kurdish+Annie                       ku                    Annie
          Kurdish+Antonio                       ku                  Antonio
           Kurdish+Auntie                       ku                   Auntie
          Kurdish+Belinda                       ku                  Belinda
            Kurdish+Boris                       ku                    Boris
            Kurdish+Denis                       ku                    Denis
            Kurdish+Diogo                       ku                    Diogo
               Kurdish+Ed                       ku                       Ed
             Kurdish+Gene                       ku                     Gene
            Kurdish+Gene2                       ku                    Gene2
         Kurdish+Henrique                       ku                 Henrique
             Kurdish+Hugo                       ku                     Hugo
             Kurdish+Iven                       ku                     Iven
            Kurdish+Iven2                       ku                    Iven2
            Kurdish+Iven3                       ku                    Iven3
            Kurdish+Jacky                       ku                    Jacky
             Kurdish+John                       ku                     John
       Kurdish+Kaukovalta                       ku               Kaukovalta
            Kurdish+Mario                       ku                    Mario
              Kurdish+Max                       ku                      Max
          Kurdish+Michael                       ku                  Michael
           Kurdish+Michel                       ku                   Michel
           Kurdish+Miguel                       ku                   Miguel
       Kurdish+Mr_Serious                       ku               Mr_Serious
           Kurdish+Nguyen                       ku                   Nguyen
            Kurdish+Pablo                       ku                    Pablo
           Kurdish+Pablo2                       ku                   Pablo2
             Kurdish+Paul                       ku                     Paul
            Kurdish+Pedro                       ku                    Pedro
           Kurdish+Quincy                       ku                   Quincy
      Kurdish+RicishayMax                       ku              RicishayMax
     Kurdish+RicishayMax2                       ku             RicishayMax2
     Kurdish+RicishayMax3                       ku             RicishayMax3
              Kurdish+Rob                       ku                      Rob
           Kurdish+Robert                       ku                   Robert
        Kurdish+Robosoft3                       ku                Robosoft3
        Kurdish+Robosoft4                       ku                Robosoft4
        Kurdish+Robosoft5                       ku                Robosoft5
        Kurdish+Robosoft6                       ku                Robosoft6
        Kurdish+Robosoft7                       ku                Robosoft7
        Kurdish+Robosoft8                       ku                Robosoft8
            Kurdish+Steph                       ku                    Steph
           Kurdish+Steph2                       ku                   Steph2
           Kurdish+Steph3                       ku                   Steph3
            Kurdish+Storm                       ku                    Storm
           Kurdish+Tweaky                       ku                   Tweaky
              Kurdish+Zac                       ku                      Zac
            Kurdish+anika                       ku                    anika
       Kurdish+anikaRobot                       ku               anikaRobot
        Kurdish+fast_test                       ku                fast_test
          Kurdish+female2                       ku                  female2
          Kurdish+female3                       ku                  female3
          Kurdish+female4                       ku                  female4
          Kurdish+female5                       ku                  female5
   Kurdish+female_whisper                       ku           female_whisper
          Kurdish+grandpa                       ku                  grandpa
            Kurdish+klatt                       ku                    klatt
           Kurdish+klatt2                       ku                   klatt2
           Kurdish+klatt3                       ku                   klatt3
           Kurdish+klatt4                       ku                   klatt4
            Kurdish+male2                       ku                    male2
            Kurdish+male3                       ku                    male3
            Kurdish+male4                       ku                    male4
            Kurdish+male5                       ku                    male5
            Kurdish+male6                       ku                    male6
            Kurdish+male7                       ku                    male7
          Kurdish+norbert                       ku                  norbert
           Kurdish+sandro                       ku                   sandro
           Kurdish+shelby                       ku                   shelby
           Kurdish+travis                       ku                   travis
           Kurdish+victor                       ku                   victor
          Kurdish+whisper                       ku                  whisper
            Kurdish+male8                       ku                    male8
          Kurdish+female1                       ku                  female1
            Kurdish+croak                       ku                    croak
            Kurdish+male1                       ku                    male1
          Kurdish+grandma                       ku                  grandma
                   Kyrgyz                       ky                     none
            Kyrgyz+Andrea                       ky                   Andrea
             Kyrgyz+Annie                       ky                    Annie
           Kyrgyz+Antonio                       ky                  Antonio
            Kyrgyz+Auntie                       ky                   Auntie
           Kyrgyz+Belinda                       ky                  Belinda
             Kyrgyz+Boris                       ky                    Boris
             Kyrgyz+Denis                       ky                    Denis
             Kyrgyz+Diogo                       ky                    Diogo
                Kyrgyz+Ed                       ky                       Ed
              Kyrgyz+Gene                       ky                     Gene
             Kyrgyz+Gene2                       ky                    Gene2
          Kyrgyz+Henrique                       ky                 Henrique
              Kyrgyz+Hugo                       ky                     Hugo
              Kyrgyz+Iven                       ky                     Iven
             Kyrgyz+Iven2                       ky                    Iven2
             Kyrgyz+Iven3                       ky                    Iven3
             Kyrgyz+Jacky                       ky                    Jacky
              Kyrgyz+John                       ky                     John
        Kyrgyz+Kaukovalta                       ky               Kaukovalta
             Kyrgyz+Mario                       ky                    Mario
               Kyrgyz+Max                       ky                      Max
           Kyrgyz+Michael                       ky                  Michael
            Kyrgyz+Michel                       ky                   Michel
            Kyrgyz+Miguel                       ky                   Miguel
        Kyrgyz+Mr_Serious                       ky               Mr_Serious
            Kyrgyz+Nguyen                       ky                   Nguyen
             Kyrgyz+Pablo                       ky                    Pablo
            Kyrgyz+Pablo2                       ky                   Pablo2
              Kyrgyz+Paul                       ky                     Paul
             Kyrgyz+Pedro                       ky                    Pedro
            Kyrgyz+Quincy                       ky                   Quincy
       Kyrgyz+RicishayMax                       ky              RicishayMax
      Kyrgyz+RicishayMax2                       ky             RicishayMax2
      Kyrgyz+RicishayMax3                       ky             RicishayMax3
               Kyrgyz+Rob                       ky                      Rob
            Kyrgyz+Robert                       ky                   Robert
         Kyrgyz+Robosoft3                       ky                Robosoft3
         Kyrgyz+Robosoft4                       ky                Robosoft4
         Kyrgyz+Robosoft5                       ky                Robosoft5
         Kyrgyz+Robosoft6                       ky                Robosoft6
         Kyrgyz+Robosoft7                       ky                Robosoft7
         Kyrgyz+Robosoft8                       ky                Robosoft8
             Kyrgyz+Steph                       ky                    Steph
            Kyrgyz+Steph2                       ky                   Steph2
            Kyrgyz+Steph3                       ky                   Steph3
             Kyrgyz+Storm                       ky                    Storm
            Kyrgyz+Tweaky                       ky                   Tweaky
               Kyrgyz+Zac                       ky                      Zac
             Kyrgyz+anika                       ky                    anika
        Kyrgyz+anikaRobot                       ky               anikaRobot
         Kyrgyz+fast_test                       ky                fast_test
           Kyrgyz+female2                       ky                  female2
           Kyrgyz+female3                       ky                  female3
           Kyrgyz+female4                       ky                  female4
           Kyrgyz+female5                       ky                  female5
    Kyrgyz+female_whisper                       ky           female_whisper
           Kyrgyz+grandpa                       ky                  grandpa
             Kyrgyz+klatt                       ky                    klatt
            Kyrgyz+klatt2                       ky                   klatt2
            Kyrgyz+klatt3                       ky                   klatt3
            Kyrgyz+klatt4                       ky                   klatt4
             Kyrgyz+male2                       ky                    male2
             Kyrgyz+male3                       ky                    male3
             Kyrgyz+male4                       ky                    male4
             Kyrgyz+male5                       ky                    male5
             Kyrgyz+male6                       ky                    male6
             Kyrgyz+male7                       ky                    male7
           Kyrgyz+norbert                       ky                  norbert
            Kyrgyz+sandro                       ky                   sandro
            Kyrgyz+shelby                       ky                   shelby
            Kyrgyz+travis                       ky                   travis
            Kyrgyz+victor                       ky                   victor
           Kyrgyz+whisper                       ky                  whisper
             Kyrgyz+male8                       ky                    male8
           Kyrgyz+female1                       ky                  female1
             Kyrgyz+croak                       ky                    croak
             Kyrgyz+male1                       ky                    male1
           Kyrgyz+grandma                       ky                  grandma
                    Latin                       la                     none
             Latin+Andrea                       la                   Andrea
              Latin+Annie                       la                    Annie
            Latin+Antonio                       la                  Antonio
             Latin+Auntie                       la                   Auntie
            Latin+Belinda                       la                  Belinda
              Latin+Boris                       la                    Boris
              Latin+Denis                       la                    Denis
              Latin+Diogo                       la                    Diogo
                 Latin+Ed                       la                       Ed
               Latin+Gene                       la                     Gene
              Latin+Gene2                       la                    Gene2
           Latin+Henrique                       la                 Henrique
               Latin+Hugo                       la                     Hugo
               Latin+Iven                       la                     Iven
              Latin+Iven2                       la                    Iven2
              Latin+Iven3                       la                    Iven3
              Latin+Jacky                       la                    Jacky
               Latin+John                       la                     John
         Latin+Kaukovalta                       la               Kaukovalta
              Latin+Mario                       la                    Mario
                Latin+Max                       la                      Max
            Latin+Michael                       la                  Michael
             Latin+Michel                       la                   Michel
             Latin+Miguel                       la                   Miguel
         Latin+Mr_Serious                       la               Mr_Serious
             Latin+Nguyen                       la                   Nguyen
              Latin+Pablo                       la                    Pablo
             Latin+Pablo2                       la                   Pablo2
               Latin+Paul                       la                     Paul
              Latin+Pedro                       la                    Pedro
             Latin+Quincy                       la                   Quincy
        Latin+RicishayMax                       la              RicishayMax
       Latin+RicishayMax2                       la             RicishayMax2
       Latin+RicishayMax3                       la             RicishayMax3
                Latin+Rob                       la                      Rob
             Latin+Robert                       la                   Robert
          Latin+Robosoft3                       la                Robosoft3
          Latin+Robosoft4                       la                Robosoft4
          Latin+Robosoft5                       la                Robosoft5
          Latin+Robosoft6                       la                Robosoft6
          Latin+Robosoft7                       la                Robosoft7
          Latin+Robosoft8                       la                Robosoft8
              Latin+Steph                       la                    Steph
             Latin+Steph2                       la                   Steph2
             Latin+Steph3                       la                   Steph3
              Latin+Storm                       la                    Storm
             Latin+Tweaky                       la                   Tweaky
                Latin+Zac                       la                      Zac
              Latin+anika                       la                    anika
         Latin+anikaRobot                       la               anikaRobot
          Latin+fast_test                       la                fast_test
            Latin+female2                       la                  female2
            Latin+female3                       la                  female3
            Latin+female4                       la                  female4
            Latin+female5                       la                  female5
     Latin+female_whisper                       la           female_whisper
            Latin+grandpa                       la                  grandpa
              Latin+klatt                       la                    klatt
             Latin+klatt2                       la                   klatt2
             Latin+klatt3                       la                   klatt3
             Latin+klatt4                       la                   klatt4
              Latin+male2                       la                    male2
              Latin+male3                       la                    male3
              Latin+male4                       la                    male4
              Latin+male5                       la                    male5
              Latin+male6                       la                    male6
              Latin+male7                       la                    male7
            Latin+norbert                       la                  norbert
             Latin+sandro                       la                   sandro
             Latin+shelby                       la                   shelby
             Latin+travis                       la                   travis
             Latin+victor                       la                   victor
            Latin+whisper                       la                  whisper
              Latin+male8                       la                    male8
            Latin+female1                       la                  female1
              Latin+croak                       la                    croak
              Latin+male1                       la                    male1
            Latin+grandma                       la                  grandma
       Lingua Franca Nova                      lfn                     none
Lingua Franca Nova+Andrea                      lfn                   Andrea
 Lingua Franca Nova+Annie                      lfn                    Annie
Lingua Franca Nova+Antonio                      lfn                  Antonio
Lingua Franca Nova+Auntie                      lfn                   Auntie
Lingua Franca Nova+Belinda                      lfn                  Belinda
 Lingua Franca Nova+Boris                      lfn                    Boris
 Lingua Franca Nova+Denis                      lfn                    Denis
 Lingua Franca Nova+Diogo                      lfn                    Diogo
    Lingua Franca Nova+Ed                      lfn                       Ed
  Lingua Franca Nova+Gene                      lfn                     Gene
 Lingua Franca Nova+Gene2                      lfn                    Gene2
Lingua Franca Nova+Henrique                      lfn                 Henrique
  Lingua Franca Nova+Hugo                      lfn                     Hugo
  Lingua Franca Nova+Iven                      lfn                     Iven
 Lingua Franca Nova+Iven2                      lfn                    Iven2
 Lingua Franca Nova+Iven3                      lfn                    Iven3
 Lingua Franca Nova+Jacky                      lfn                    Jacky
  Lingua Franca Nova+John                      lfn                     John
Lingua Franca Nova+Kaukovalta                      lfn               Kaukovalta
 Lingua Franca Nova+Mario                      lfn                    Mario
   Lingua Franca Nova+Max                      lfn                      Max
Lingua Franca Nova+Michael                      lfn                  Michael
Lingua Franca Nova+Michel                      lfn                   Michel
Lingua Franca Nova+Miguel                      lfn                   Miguel
Lingua Franca Nova+Mr_Serious                      lfn               Mr_Serious
Lingua Franca Nova+Nguyen                      lfn                   Nguyen
 Lingua Franca Nova+Pablo                      lfn                    Pablo
Lingua Franca Nova+Pablo2                      lfn                   Pablo2
  Lingua Franca Nova+Paul                      lfn                     Paul
 Lingua Franca Nova+Pedro                      lfn                    Pedro
Lingua Franca Nova+Quincy                      lfn                   Quincy
Lingua Franca Nova+RicishayMax                      lfn              RicishayMax
Lingua Franca Nova+RicishayMax2                      lfn             RicishayMax2
Lingua Franca Nova+RicishayMax3                      lfn             RicishayMax3
   Lingua Franca Nova+Rob                      lfn                      Rob
Lingua Franca Nova+Robert                      lfn                   Robert
Lingua Franca Nova+Robosoft3                      lfn                Robosoft3
Lingua Franca Nova+Robosoft4                      lfn                Robosoft4
Lingua Franca Nova+Robosoft5                      lfn                Robosoft5
Lingua Franca Nova+Robosoft6                      lfn                Robosoft6
Lingua Franca Nova+Robosoft7                      lfn                Robosoft7
Lingua Franca Nova+Robosoft8                      lfn                Robosoft8
 Lingua Franca Nova+Steph                      lfn                    Steph
Lingua Franca Nova+Steph2                      lfn                   Steph2
Lingua Franca Nova+Steph3                      lfn                   Steph3
 Lingua Franca Nova+Storm                      lfn                    Storm
Lingua Franca Nova+Tweaky                      lfn                   Tweaky
   Lingua Franca Nova+Zac                      lfn                      Zac
 Lingua Franca Nova+anika                      lfn                    anika
Lingua Franca Nova+anikaRobot                      lfn               anikaRobot
Lingua Franca Nova+fast_test                      lfn                fast_test
Lingua Franca Nova+female2                      lfn                  female2
Lingua Franca Nova+female3                      lfn                  female3
Lingua Franca Nova+female4                      lfn                  female4
Lingua Franca Nova+female5                      lfn                  female5
Lingua Franca Nova+female_whisper                      lfn           female_whisper
Lingua Franca Nova+grandpa                      lfn                  grandpa
 Lingua Franca Nova+klatt                      lfn                    klatt
Lingua Franca Nova+klatt2                      lfn                   klatt2
Lingua Franca Nova+klatt3                      lfn                   klatt3
Lingua Franca Nova+klatt4                      lfn                   klatt4
 Lingua Franca Nova+male2                      lfn                    male2
 Lingua Franca Nova+male3                      lfn                    male3
 Lingua Franca Nova+male4                      lfn                    male4
 Lingua Franca Nova+male5                      lfn                    male5
 Lingua Franca Nova+male6                      lfn                    male6
 Lingua Franca Nova+male7                      lfn                    male7
Lingua Franca Nova+norbert                      lfn                  norbert
Lingua Franca Nova+sandro                      lfn                   sandro
Lingua Franca Nova+shelby                      lfn                   shelby
Lingua Franca Nova+travis                      lfn                   travis
Lingua Franca Nova+victor                      lfn                   victor
Lingua Franca Nova+whisper                      lfn                  whisper
 Lingua Franca Nova+male8                      lfn                    male8
Lingua Franca Nova+female1                      lfn                  female1
 Lingua Franca Nova+croak                      lfn                    croak
 Lingua Franca Nova+male1                      lfn                    male1
Lingua Franca Nova+grandma                      lfn                  grandma
               Lithuanian                       lt                     none
        Lithuanian+Andrea                       lt                   Andrea
         Lithuanian+Annie                       lt                    Annie
       Lithuanian+Antonio                       lt                  Antonio
        Lithuanian+Auntie                       lt                   Auntie
       Lithuanian+Belinda                       lt                  Belinda
         Lithuanian+Boris                       lt                    Boris
         Lithuanian+Denis                       lt                    Denis
         Lithuanian+Diogo                       lt                    Diogo
            Lithuanian+Ed                       lt                       Ed
          Lithuanian+Gene                       lt                     Gene
         Lithuanian+Gene2                       lt                    Gene2
      Lithuanian+Henrique                       lt                 Henrique
          Lithuanian+Hugo                       lt                     Hugo
          Lithuanian+Iven                       lt                     Iven
         Lithuanian+Iven2                       lt                    Iven2
         Lithuanian+Iven3                       lt                    Iven3
         Lithuanian+Jacky                       lt                    Jacky
          Lithuanian+John                       lt                     John
    Lithuanian+Kaukovalta                       lt               Kaukovalta
         Lithuanian+Mario                       lt                    Mario
           Lithuanian+Max                       lt                      Max
       Lithuanian+Michael                       lt                  Michael
        Lithuanian+Michel                       lt                   Michel
        Lithuanian+Miguel                       lt                   Miguel
    Lithuanian+Mr_Serious                       lt               Mr_Serious
        Lithuanian+Nguyen                       lt                   Nguyen
         Lithuanian+Pablo                       lt                    Pablo
        Lithuanian+Pablo2                       lt                   Pablo2
          Lithuanian+Paul                       lt                     Paul
         Lithuanian+Pedro                       lt                    Pedro
        Lithuanian+Quincy                       lt                   Quincy
   Lithuanian+RicishayMax                       lt              RicishayMax
  Lithuanian+RicishayMax2                       lt             RicishayMax2
  Lithuanian+RicishayMax3                       lt             RicishayMax3
           Lithuanian+Rob                       lt                      Rob
        Lithuanian+Robert                       lt                   Robert
     Lithuanian+Robosoft3                       lt                Robosoft3
     Lithuanian+Robosoft4                       lt                Robosoft4
     Lithuanian+Robosoft5                       lt                Robosoft5
     Lithuanian+Robosoft6                       lt                Robosoft6
     Lithuanian+Robosoft7                       lt                Robosoft7
     Lithuanian+Robosoft8                       lt                Robosoft8
         Lithuanian+Steph                       lt                    Steph
        Lithuanian+Steph2                       lt                   Steph2
        Lithuanian+Steph3                       lt                   Steph3
         Lithuanian+Storm                       lt                    Storm
        Lithuanian+Tweaky                       lt                   Tweaky
           Lithuanian+Zac                       lt                      Zac
         Lithuanian+anika                       lt                    anika
    Lithuanian+anikaRobot                       lt               anikaRobot
     Lithuanian+fast_test                       lt                fast_test
       Lithuanian+female2                       lt                  female2
       Lithuanian+female3                       lt                  female3
       Lithuanian+female4                       lt                  female4
       Lithuanian+female5                       lt                  female5
Lithuanian+female_whisper                       lt           female_whisper
       Lithuanian+grandpa                       lt                  grandpa
         Lithuanian+klatt                       lt                    klatt
        Lithuanian+klatt2                       lt                   klatt2
        Lithuanian+klatt3                       lt                   klatt3
        Lithuanian+klatt4                       lt                   klatt4
         Lithuanian+male2                       lt                    male2
         Lithuanian+male3                       lt                    male3
         Lithuanian+male4                       lt                    male4
         Lithuanian+male5                       lt                    male5
         Lithuanian+male6                       lt                    male6
         Lithuanian+male7                       lt                    male7
       Lithuanian+norbert                       lt                  norbert
        Lithuanian+sandro                       lt                   sandro
        Lithuanian+shelby                       lt                   shelby
        Lithuanian+travis                       lt                   travis
        Lithuanian+victor                       lt                   victor
       Lithuanian+whisper                       lt                  whisper
         Lithuanian+male8                       lt                    male8
       Lithuanian+female1                       lt                  female1
         Lithuanian+croak                       lt                    croak
         Lithuanian+male1                       lt                    male1
       Lithuanian+grandma                       lt                  grandma
                  Latvian                       lv                     none
           Latvian+Andrea                       lv                   Andrea
            Latvian+Annie                       lv                    Annie
          Latvian+Antonio                       lv                  Antonio
           Latvian+Auntie                       lv                   Auntie
          Latvian+Belinda                       lv                  Belinda
            Latvian+Boris                       lv                    Boris
            Latvian+Denis                       lv                    Denis
            Latvian+Diogo                       lv                    Diogo
               Latvian+Ed                       lv                       Ed
             Latvian+Gene                       lv                     Gene
            Latvian+Gene2                       lv                    Gene2
         Latvian+Henrique                       lv                 Henrique
             Latvian+Hugo                       lv                     Hugo
             Latvian+Iven                       lv                     Iven
            Latvian+Iven2                       lv                    Iven2
            Latvian+Iven3                       lv                    Iven3
            Latvian+Jacky                       lv                    Jacky
             Latvian+John                       lv                     John
       Latvian+Kaukovalta                       lv               Kaukovalta
            Latvian+Mario                       lv                    Mario
              Latvian+Max                       lv                      Max
          Latvian+Michael                       lv                  Michael
           Latvian+Michel                       lv                   Michel
           Latvian+Miguel                       lv                   Miguel
       Latvian+Mr_Serious                       lv               Mr_Serious
           Latvian+Nguyen                       lv                   Nguyen
            Latvian+Pablo                       lv                    Pablo
           Latvian+Pablo2                       lv                   Pablo2
             Latvian+Paul                       lv                     Paul
            Latvian+Pedro                       lv                    Pedro
           Latvian+Quincy                       lv                   Quincy
      Latvian+RicishayMax                       lv              RicishayMax
     Latvian+RicishayMax2                       lv             RicishayMax2
     Latvian+RicishayMax3                       lv             RicishayMax3
              Latvian+Rob                       lv                      Rob
           Latvian+Robert                       lv                   Robert
        Latvian+Robosoft3                       lv                Robosoft3
        Latvian+Robosoft4                       lv                Robosoft4
        Latvian+Robosoft5                       lv                Robosoft5
        Latvian+Robosoft6                       lv                Robosoft6
        Latvian+Robosoft7                       lv                Robosoft7
        Latvian+Robosoft8                       lv                Robosoft8
            Latvian+Steph                       lv                    Steph
           Latvian+Steph2                       lv                   Steph2
